Date,Hour,Price,Day of Week,Price_Bin_Index
2007-01-01,1,24.31,0,2
2007-01-01,2,24.31,0,2
2007-01-01,3,21.71,0,2
2007-01-01,4,8.42,0,0
2007-01-01,5,0.01,0,0
2007-01-01,6,0.01,0,0
2007-01-01,7,0.02,0,0
2007-01-01,8,0.01,0,0
2007-01-01,9,0.01,0,0
2007-01-01,10,6.31,0,0
2007-01-01,11,7.81,0,0
2007-01-01,12,9.31,0,0
2007-01-01,13,21.7,0,2
2007-01-01,14,14.01,0,1
2007-01-01,15,15.0,0,1
2007-01-01,16,10.0,0,1
2007-01-01,17,8.17,0,0
2007-01-01,18,27.77,0,2
2007-01-01,19,37.99,0,3
2007-01-01,20,33.11,0,3
2007-01-01,21,37.99,0,3
2007-01-01,22,33.0,0,3
2007-01-01,23,36.48,0,3
2007-01-01,24,30.65,0,3
2007-01-02,1,16.01,1,1
2007-01-02,2,11.0,1,1
2007-01-02,3,9.01,1,0
2007-01-02,4,7.5,1,0
2007-01-02,5,9.0,1,0
2007-01-02,6,7.45,1,0
2007-01-02,7,16.5,1,1
2007-01-02,8,28.01,1,2
2007-01-02,9,29.96,1,2
2007-01-02,10,39.6,1,3
2007-01-02,11,48.15,1,4
2007-01-02,12,49.93,1,4
2007-01-02,13,49.0,1,4
2007-01-02,14,46.01,1,4
2007-01-02,15,37.57,1,3
2007-01-02,16,36.45,1,3
2007-01-02,17,37.99,1,3
2007-01-02,18,53.0,1,5
2007-01-02,19,59.69,1,5
2007-01-02,20,50.09,1,5
2007-01-02,21,50.0,1,5
2007-01-02,22,36.22,1,3
2007-01-02,23,31.09,1,3
2007-01-02,24,29.84,1,2
2007-01-03,1,28.0,2,2
2007-01-03,2,24.5,2,2
2007-01-03,3,24.15,2,2
2007-01-03,4,18.99,2,1
2007-01-03,5,15.5,2,1
2007-01-03,6,23.11,2,2
2007-01-03,7,29.01,2,2
2007-01-03,8,39.73,2,3
2007-01-03,9,43.81,2,4
2007-01-03,10,49.09,2,4
2007-01-03,11,51.0,2,5
2007-01-03,12,53.04,2,5
2007-01-03,13,49.99,2,4
2007-01-03,14,47.0,2,4
2007-01-03,15,43.21,2,4
2007-01-03,16,43.99,2,4
2007-01-03,17,48.0,2,4
2007-01-03,18,57.0,2,5
2007-01-03,19,60.99,2,6
2007-01-03,20,55.51,2,5
2007-01-03,21,51.77,2,5
2007-01-03,22,34.51,2,3
2007-01-03,23,39.31,2,3
2007-01-03,24,38.05,2,3
2007-01-04,1,31.01,3,3
2007-01-04,2,28.69,3,2
2007-01-04,3,27.0,3,2
2007-01-04,4,24.2,3,2
2007-01-04,5,12.02,3,1
2007-01-04,6,27.0,3,2
2007-01-04,7,28.0,3,2
2007-01-04,8,34.85,3,3
2007-01-04,9,41.31,3,4
2007-01-04,10,42.03,3,4
2007-01-04,11,46.0,3,4
2007-01-04,12,45.96,3,4
2007-01-04,13,45.6,3,4
2007-01-04,14,42.35,3,4
2007-01-04,15,40.01,3,4
2007-01-04,16,38.0,3,3
2007-01-04,17,42.66,3,4
2007-01-04,18,53.0,3,5
2007-01-04,19,58.99,3,5
2007-01-04,20,53.5,3,5
2007-01-04,21,44.01,3,4
2007-01-04,22,35.0,3,3
2007-01-04,23,34.46,3,3
2007-01-04,24,31.57,3,3
2007-01-05,1,22.0,4,2
2007-01-05,2,19.5,4,1
2007-01-05,3,17.55,4,1
2007-01-05,4,15.91,4,1
2007-01-05,5,11.4,4,1
2007-01-05,6,22.65,4,2
2007-01-05,7,27.3,4,2
2007-01-05,8,34.0,4,3
2007-01-05,9,40.01,4,4
2007-01-05,10,45.0,4,4
2007-01-05,11,50.34,4,5
2007-01-05,12,49.84,4,4
2007-01-05,13,48.81,4,4
2007-01-05,14,47.94,4,4
2007-01-05,15,40.06,4,4
2007-01-05,16,38.0,4,3
2007-01-05,17,38.61,4,3
2007-01-05,18,49.84,4,4
2007-01-05,19,53.0,4,5
2007-01-05,20,45.91,4,4
2007-01-05,21,36.74,4,3
2007-01-05,22,29.61,4,2
